0,1,2,3
U,U,U,U
U,U,U,F
U,U,U,R
U,U,U,L
U,U,U,B
U,U,U,D
U,U,U,U'
U,U,U,F'
U,U,U,R'
U,U,U,L'
U,U,U,B'
U,U,U,D'
U,U,U,2U
U,U,U,2F
U,U,U,2R
U,U,U,2L
U,U,U,2B
U,U,U,2D
U,U,U,2U'
U,U,U,2F'
U,U,U,2R'
U,U,U,2L'
U,U,U,2B'
U,U,U,2D'
U,U,F,U
U,U,F,F
U,U,F,R
U,U,F,L
U,U,F,B
U,U,F,D
U,U,F,U'
U,U,F,F'
U,U,F,R'
U,U,F,L'
U,U,F,B'
U,U,F,D'
U,U,F,2U
U,U,F,2F
U,U,F,2R
U,U,F,2L
U,U,F,2B
U,U,F,2D
U,U,F,2U'
U,U,F,2F'
U,U,F,2R'
U,U,F,2L'
U,U,F,2B'
U,U,F,2D'
U,U,R,U
U,U,R,F
U,U,R,R
U,U,R,L
U,U,R,B
U,U,R,D
U,U,R,U'
U,U,R,F'
U,U,R,R'
U,U,R,L'
U,U,R,B'
U,U,R,D'
U,U,R,2U
U,U,R,2F
U,U,R,2R
U,U,R,2L
U,U,R,2B
U,U,R,2D
U,U,R,2U'
U,U,R,2F'
U,U,R,2R'
U,U,R,2L'
U,U,R,2B'
U,U,R,2D'
U,U,L,U
U,U,L,F
U,U,L,R
U,U,L,L
U,U,L,B
U,U,L,D
U,U,L,U'
U,U,L,F'
U,U,L,R'
U,U,L,L'
U,U,L,B'
U,U,L,D'
U,U,L,2U
U,U,L,2F
U,U,L,2R
U,U,L,2L
U,U,L,2B
U,U,L,2D
U,U,L,2U'
U,U,L,2F'
U,U,L,2R'
U,U,L,2L'
U,U,L,2B'
U,U,L,2D'
U,U,B,U
U,U,B,F
U,U,B,R
U,U,B,L
U,U,B,B
U,U,B,D
U,U,B,U'
U,U,B,F'
U,U,B,R'
U,U,B,L'
U,U,B,B'
U,U,B,D'
U,U,B,2U
U,U,B,2F
U,U,B,2R
U,U,B,2L
U,U,B,2B
U,U,B,2D
U,U,B,2U'
U,U,B,2F'
U,U,B,2R'
U,U,B,2L'
U,U,B,2B'
U,U,B,2D'
U,U,D,U
U,U,D,F
U,U,D,R
U,U,D,L
U,U,D,B
U,U,D,D
U,U,D,U'
U,U,D,F'
U,U,D,R'
U,U,D,L'
U,U,D,B'
U,U,D,D'
U,U,D,2U
U,U,D,2F
U,U,D,2R
U,U,D,2L
U,U,D,2B
U,U,D,2D
U,U,D,2U'
U,U,D,2F'
U,U,D,2R'
U,U,D,2L'
U,U,D,2B'
U,U,D,2D'
U,U,U',U
U,U,U',F
U,U,U',R
U,U,U',L
U,U,U',B
U,U,U',D
U,U,U',U'
U,U,U',F'
U,U,U',R'
U,U,U',L'
U,U,U',B'
U,U,U',D'
U,U,U',2U
U,U,U',2F
U,U,U',2R
U,U,U',2L
U,U,U',2B
U,U,U',2D
U,U,U',2U'
U,U,U',2F'
U,U,U',2R'
U,U,U',2L'
U,U,U',2B'
U,U,U',2D'
U,U,F',U
U,U,F',F
U,U,F',R
U,U,F',L
U,U,F',B
U,U,F',D
U,U,F',U'
U,U,F',F'
U,U,F',R'
U,U,F',L'
U,U,F',B'
U,U,F',D'
U,U,F',2U
U,U,F',2F
U,U,F',2R
U,U,F',2L
U,U,F',2B
U,U,F',2D
U,U,F',2U'
U,U,F',2F'
U,U,F',2R'
U,U,F',2L'
U,U,F',2B'
U,U,F',2D'
U,U,R',U
U,U,R',F
U,U,R',R
U,U,R',L
U,U,R',B
U,U,R',D
U,U,R',U'
U,U,R',F'
